NAME,DOCUMENT,PREPROCESSED
What is OneDrive for Business?,"OneDrive for Businessis an online libraryto store and organize allyour professional documents.As a part of Office 365,OneDrive for Business allows youto work with your organizationthanks to functionalitiessuch as direct access to the addressbook of your organization.You can use OneDrive forBusiness on any devices.To start using OneDrive,login to Office 365 portal.Then in the app launcher, select OneDrive.This page is your online storage space.You manage your filesand folders like you didwith your file explorer in Windows.You create new documents, delete them,or manage sharing with other people.",onedr businessi onlin libraryto store organ allyour profession documentsa part offic 365onedr busi allow youto work organizationthank functionalitiessuch direct access addressbook organizationy use onedr forbusi devicesto start use onedrivelogin offic 365 portalthen app launcher select onedrivethi page onlin storag spacey manag filesand folder like didwith file explor windowsy creat new document delet themor manag share peopl
"Add, restore, delete documents on OneDrive","To create a new document in OneDriveclick New, and then a document type.Foe example, I create a Word document.When Word Online is openedyou can start working.When the document is doneyou don't have to save itbecause Word Onlinesaves it automatically.To come back to OneDrive for businesssimply click on your nameat the top left side.Your new document is added.To upload an existing filesimply drag it from your desktopand drop in the library.You can also select upload,and then browse the file you want.The document appears in your library.To download a file selectit and click on Download,or right click, then Download.By clicking on a fileand selecting detailsa menu on the right opensso you can see a previewof your document and more information.You can move your document directlyby doing a drag and dropto the folder you want.To delete a file, selectit and click on Delete.Be careful with the alertmessages that can appear.For example, when you'redownloading an existing fileon OneDrive, an alertappears at the top right.By clicking on it you canchoose to replace the document.In the navigation tab,you find the groupsthat you are a part of.You can also gain access to groups filesby clicking on one of them.",creat new document onedriveclick new document typefo exampl creat word documentwhen word onlin openedy start workingwhen document doney dont save itbecaus word onlinesav automaticallyto come back onedr businesssimpli click nameat top left sideyour new document addedto upload exist filesimpli drag desktopand drop libraryy also select uploadand brows file wantth document appear libraryto download file selectit click downloador right click downloadbi click fileand select detailsa menu right opensso see previewof document informationy move document directlybi drag dropto folder wantto delet file selectit click deleteb care alertmessag appearfor exampl youredownload exist fileon onedr alertappear top rightbi click canchoos replac documentin navig tabyou find groupsthat part ofyou also gain access group filesbi click one
Share documents,"By default, all content is private, so you don’t have to worry about security. But you can share any type of document on your OneDrive library with co-workers or externalpeople of your organisation.And grant them read or editing permissions. The document doesn’t have to be a Word or other Office file.To share a folder or adocument in your library, select a file and click on the “Share” button.Next, enter the name of the person and then click on the drop-down list at the top of the window to determine who will have access to the sharinglink and to grant authorisations:Choose “Anyone” if you want toinclude people outside your organisation.This option may beoverruled by your administrator.In that case, the option willbe greyed out as in our example.Choose “People within your organization” to allow all members of your organisation to access the link, whether they receive it from you directly or whether it was transferred from a third party.Choose “People with existingaccess” to allow all memberswho already have access tothe site to access the link,whether they receive it from youdirectly or from a third party.Lastly, choose “Specificpeople” to allow access only topeople you have specified, even if other people already have access to the element.In this case, if the link has been transferred, only people who already have access to the element will be able to use the link.Next, determine whetherthese people will be able to editor simply consult the document by checking or unchecking the “Allow editing” box. You may also want to write a message.Once it’s done, click on “Send”.If you want to send a linkby email, select a documentand click the “Copy Link” button,You can also choose thepeople for whom you want the link to work and determine whether theywill have editing privileges or not.You can now copy andcommunicate the document link.Lastly, you can also open anew messaging window wherethe sharing link has alreadybeen automatically inserted.The “sharing” column shows you thesharing statue of a file or a folder.This icon means there is anexisting sharing for this document.To modify user’s permissions who already have an access to a folder or a document,click on this icon in the “Sharing” column and modify authorisations in the pane that is displayed to the right by clicking on the “Manage access” link and deciding whether to grant editing or only reading privileges, or whether you want to stop sharing altogether.All these options may alsobe available at the same timewhen you click on “GrantAccess” from the Share pane.A window opens which allowyou to invite people with whom you want to share this document.To get a sharing link.And also view the list of people withwhom you already share this document.",default content privat dont worri secur share type document onedr librari cowork externalpeopl organisationand grant read edit permiss document doesnt word offic fileto share folder adocu librari select file click share buttonnext enter name person click dropdown list top window determin access sharinglink grant authorisationschoos anyon want toinclud peopl outsid organisationthi option may beoverrul administratorin case option willb grey examplechoos peopl within organ allow member organis access link whether receiv directli whether transfer third partychoos peopl existingaccess allow memberswho alreadi access toth site access linkwheth receiv youdirectli third partylastli choos specificpeopl allow access topeopl specifi even peopl alreadi access elementin case link transfer peopl alreadi access element abl use linknext determin whetherthes peopl abl editor simpli consult document check uncheck allow edit box may also want write messageonc done click sendif want send linkbi email select documentand click copi link buttony also choos thepeopl want link work determin whether theywil edit privileg notyou copi andcommun document linklastli also open anew messag window whereth share link alreadybeen automat insertedth share column show theshar statu file folderthi icon mean anexist share documentto modifi user permiss alreadi access folder documentclick icon share column modifi authoris pane display right click manag access link decid whether grant edit read privileg whether want stop share altogetheral option may alsob avail timewhen click grantaccess share panea window open allowy invit peopl want share documentto get share linkand also view list peopl withwhom alreadi share document
Recycle bin,"When you delete a file or afolder, OneDrive gives youa chance to undo your decisionbut even if you miss the opportunity,you can still get the file back.In the navigationpane, click Recycle bin.As you can see OneDrivedoesn't really delete itemsand moves them here so you canget them back by selecting oneor more items and clicking Restore.When you do, OneDrive moves themback to their original locations.You can click Empty recyclebin to permanently deletethe items or let OneDrive do itfor you automatically after30 days or if yourRecycle bin is full.",delet file afold onedr give youa chanc undo decisionbut even miss opportunityy still get file backin navigationpan click recycl bina see onedrivedoesnt realli delet itemsand move canget back select oneor item click restorewhen onedr move themback origin locationsy click empti recyclebin perman deleteth item let onedr itfor automat after30 day yourrecycl bin full
Sync OneDrive for Business to your computer (Windows 10 - 1709),"The one drive synchronization application is available with office 2016 or can be downloaded free of charge on the microsoft.com website. It allows you to synchronize your library with your computer and then to use the files locally and directly on your PC without having to be connected. In this case, one drive will perform a synchronization once you re connect to the Internet.2 cases are possible when synchronizing a library.If you want to synchronize a personal one drive library like this one by clicking on sync. The one drive app opens if the set up one drive dialog box appears sign in with your account.If you are already signed in OneDrive opens and you'll be at the next step.By default the library will be saved on the users folder if you want to change the location click change location.This option is available only at the first synchronization.Click next the app offers you to choose the folders you want to sink.Click again on next.Once it's done, I click on open my OneDrive folder to see where my files are located in windows Explorer.The second case happens when you want to synchronize a library attached to a SharePoint site by clicking on sync the one drive app opens.Followed the same steps as described earlier and then click on start sync.Once the synchronization has been completed windows Explorer will open in the file location.In this example, we have replicated both cases, we therefore have a one drive file followed by the company name and another file with the company name only.One file corresponds to your personal one drive and the other one to a SharePoint space created for the company.I open this one.The icons next to the files show this sync status.A green check mark means the file is synced a blue mark means that the file is in synchronization. And if a problem occurs during the synchronization a Red Cross Mark appears.You can now open an edit these documents all modifications are automatically synchronized on Office 365 I can choose to open this document with the online app on a web browser.From the windows Explorer on my computer.Or directly from one of the apps installed on my computer.You can update your contents even if you're not connected to the Internet. When you are away. For example, all changes will be automatically downloaded next time you're back online.",one drive synchron applic avail offic 2016 download free charg microsoftcom websit allow synchron librari comput use file local directli pc without connect case one drive perform synchron connect internet2 case possibl synchron libraryif want synchron person one drive librari like one click sync one drive app open set one drive dialog box appear sign accountif alreadi sign onedr open youll next stepbi default librari save user folder want chang locat click chang locationthi option avail first synchronizationclick next app offer choos folder want sinkclick nextonc done click open onedr folder see file locat window explorerth second case happen want synchron librari attach sharepoint site click sync one drive app opensfollow step describ earlier click start synconc synchron complet window explor open file locationin exampl replic case therefor one drive file follow compani name anoth file compani name onlyon file correspond person one drive one sharepoint space creat companyi open oneth icon next file show sync statusa green check mark mean file sync blue mark mean file synchron problem occur synchron red cross mark appearsy open edit document modif automat synchron offic 365 choos open document onlin app web browserfrom window explor computeror directli one app instal computery updat content even your connect internet away exampl chang automat download next time your back onlin
Work with documents in a synced library folder (Windows 10 - 1709),"Once you sync your one drive library to your computer you can work with these files just as you did, with other files in your file system. You can find your sink library in the Navigation Pane from your windows Explorer.Your library will appear in the one drive folder an other libraries from SharePoint sites will appear here.So if I'm in word for example, I can open the files in this folder or I can create a new file and save it to my sync folder.When I'm online. The new file immediately gets uploaded into the site library. Same if you delete a file on your sync folder. The file will be deleted in share point at the next sync.What happened if you don't have permissions to do it?The file will get re download it into the library folder during the next sync.Same if you don't have permissions to add a new file. It just doesn't upload and you see an error mark on the file in your sink folder.A1 drive menu. Let's me start activities with files in the sink folder. Let's have a look.Here, I right click on a document.I can then choose to share the folder to display it in the browser and to access the synchronized folders.I can also open the OneDrive Menu at anytime from my windows taskbar.These options allow me to manage the synchronization.",sync one drive librari comput work file file file system find sink librari navig pane window exploreryour librari appear one drive folder librari sharepoint site appear hereso im word exampl open file folder creat new file save sync folderwhen im onlin new file immedi get upload site librari delet file sync folder file delet share point next syncwhat happen dont permiss itth file get download librari folder next syncsam dont permiss add new file doesnt upload see error mark file sink foldera1 drive menu let start activ file sink folder let lookher right click documenti choos share folder display browser access synchron foldersi also open onedr menu anytim window taskbarthes option allow manag synchron
Change location where you sync libraries on your computer (Windows 10 - 1709),"One drive automatically synchronizes the libraries in your windows personal user folder on the see drive, however you can change the synchronization location. For example, if you don't have enough room left on your C drive.If you have already synced libraries to one drive the first step is to stop syncing these libraries.To do this click the one drive icon in the taskbar, then settings.Select a folder.And then click stop sync you have to repeat this process for each folder you need.When the last folder is about to be synchronized. A window will alert you that the connection with your account will be interrupted.Now go to the first library, you want to sink.Click sync at the Top.In the one drive app click the change location link.If this link doesn't appear that means you're still stinking a library with one drive.Browse the folder you want to set as the root folder for your library on your computer.The one drive app shows the new roots, Inc location.Click next.Now all libraries, you sync will be synchronized in the new route location.To stop syncing a folder from one drive. Open your File Explorer right click. The one drive folder and select choose one drive folders to sync.Uncheck this box to stop syncing all folders and files or uncheck them 1 by 1.Now to change location when you have stopped syncing. All your folders right click on the one drive icon in your taskbar. Then settings in the window that opens click on unlink this PC at the next sinking. You will be able to change this location.",one drive automat synchron librari window person user folder see drive howev chang synchron locat exampl dont enough room left c driveif alreadi sync librari one drive first step stop sync librariesto click one drive icon taskbar settingsselect folderand click stop sync repeat process folder needwhen last folder synchron window alert connect account interruptednow go first librari want sinkclick sync topin one drive app click chang locat linkif link doesnt appear mean your still stink librari one drivebrows folder want set root folder librari computerth one drive app show new root inc locationclick nextnow librari sync synchron new rout locationto stop sync folder one drive open file explor right click one drive folder select choos one drive folder syncuncheck box stop sync folder file uncheck 1 1now chang locat stop sync folder right click one drive icon taskbar set window open click unlink pc next sink abl chang locat
Introduction and how to use Outlook Online,"To access the portalto check your email onlinego to portal.office.comand use the connectioninformation that you received.I now come to the onlinemessaging home page.We will discover togetherthe tool interfaceand different navigations menus.So, here we have the mailboxwith different folders,including inbox,the possibility of rightclicking on a folder,exactly like you can do onyour computer in Outlook.Select a folder, right click on itand we have a menu thatallows you to move downthis folder in a list, for example.Same for messages where various optionsare displayed when rightclicking on a message.The messaging is availablevia the App Launcher,same as the calendar availablevia the Calendar tile,and contacts by clickingon the People tile.Now we will see alloptions to update, edit,personalize your password and so on.Using the wheel, access 365's settings.The first interesting tool hereis the possibility tomodify your password,allowing to personalizeand secure your access,and also change the password you receivedto access this portal.So, we enter the old password, the new oneand the confirmation of this new password.Click on submit to save it andthe new password is applied.Back to the mailbox.If I want to create a new messageI click on New.To add recipient, Iclick on the To button,and my business directoryopens to choose the recipients.Go to the message panewith the shaping tools,then I click Send at the top.To summarize, we can basicallysay that everything we needis located at the top of the screen.",access portalto check email onlinego portalofficecomand use connectioninform receivedi come onlinemessag home pagew discov togetherth tool interfaceand differ navig menusso mailboxwith differ foldersinclud inboxth possibl rightclick folderexactli like onyour comput outlookselect folder right click itand menu thatallow move downthi folder list examplesam messag variou optionsar display rightclick messageth messag availablevia app launchersam calendar availablevia calendar tileand contact clickingon peopl tilenow see allopt updat editperson password onus wheel access 365 settingsth first interest tool herei possibl tomodifi passwordallow personalizeand secur accessand also chang password receivedto access portalso enter old password new oneand confirm new passwordclick submit save andth new password appliedback mailboxif want creat new messagei click newto add recipi iclick buttonand busi directoryopen choos recipientsgo messag panewith shape toolsthen click send topto summar basicallysay everyth needi locat top screen
"Create a new message, with attachments and options","To reply or create a newmessage in outlook web app,there are several possibilities.If you come from an existingmessage that you received 3 classicoptions are available to you,reply, reply all and forward atthe top of the navigation pan.We can find them at the top right sideof an email with more options too.The first one allows you to simplyreply to the first center of this email.Reply all allows you to reply to allrecipients from the original Mail andforward allows you to transfer thismessage to another person who is notthe initial recipient of the first message.This option that will use totransfer attachments which areincluded in the initial message,or you can use it if you wantto create a new message.Or if this person is part of your Contacts,you can find him in the search fieldand type the beginning of his name.Outlook shows me some results byclicking on this icon next to his name,the contact card of my colleagueappears and shows me details.Here I can send a message byclicking on this icon.A new window opens andI can write my message.Or I click on new at thetop to create a new message.The new message window opens.Hey, I can benefit from the recipienthistory by tapping the beginning of his name.Some results appear and I can choose myrecipient or click on the two buttonor CC button to open my contact list.From this page I can click on plusto add the contact to my recipients.I clicked save, come back to my message,I click on CC to add copy recipients.You can also send messages torecipients with the BCC box.BCC is the same as CC,but recipients in this fieldwill be hidden from other people.Here by default the field is not displayed,so I can find it by clicking onthe three dots and show BCC.Now I can click on it andadd recipients to this field.A type of subject and the message Iwant to send with some shaping options.You can display the window in fullscreen by clicking on this icon.A new window appears.You can open this window evenif you are writing your message.To add attachments,two possibilities using the attach buttonat the top to open my window Explorerand browse the file I want to send.Or drag and drop files from yourwindow Explorer to your message.My file is automatically inserted.I drag and drop another one.If you want more options,like setting more important toyour message or a request foran acknowledgement of receipt,click on the three dots here.You can set importance high,normal or low.This icon will inform recipients thatthis message has a high priority.And then the others options.I can request the deliveryor acknowledgement receipt.Now I can send my message if you don'twant it now you can save it as adraft by clicking on the three dots.You'll find it later in the draft folder.",repli creat newmessag outlook web appther sever possibilitiesif come existingmessag receiv 3 classicopt avail yourepli repli forward atth top navig panw find top right sideof email option tooth first one allow simplyrepli first center emailrepli allow repli allrecipi origin mail andforward allow transfer thismessag anoth person notth initi recipi first messagethi option use totransf attach areinclud initi messageor use wantto creat new messageor person part contactsy find search fieldand type begin nameoutlook show result byclick icon next nameth contact card colleagueappear show detailsher send messag byclick icona new window open andi write messageor click new thetop creat new messageth new messag window openshey benefit recipienthistori tap begin namesom result appear choos myrecipi click two buttonor cc button open contact listfrom page click plusto add contact recipientsi click save come back messagei click cc add copi recipientsy also send messag torecipi bcc boxbcc ccbut recipi fieldwil hidden peopleher default field displayedso find click onth three dot show bccnow click andadd recipi fielda type subject messag iwant send shape optionsy display window fullscreen click icona new window appearsy open window evenif write messageto add attachmentstwo possibl use attach buttonat top open window explorerand brows file want sendor drag drop file yourwindow explor messagemi file automat insertedi drag drop anoth oneif want optionslik set import toyour messag request foran acknowledg receiptclick three dot herey set import highnorm lowthi icon inform recipi thatthi messag high priorityand other optionsi request deliveryor acknowledg receiptnow send messag dontwant save adraft click three dotsyoul find later draft folder
Search and built-in filters,"How do we navigate in the numerousamount of messages we receive every day?Outlook web app can easily sort research anmanage your emails according to your needs.Let's start by the sort option.First, in the main window, this littlearrow shows several sorting indicators.First option allows you to display allyour inbox contents or the selected folder.Besides, I can quickly sortmessages that haven't been read.Messages that was sent tome as the main recipient.Then flagged to sort all messageson which you set a flag on it.Default view is all view.Some other criteria allow youto sort differently your inbox.In addition, with a little arrowI can sort by date by default.I'm already sorting by date.Bye send us to have a view which includeall received messages from the same people.I can sort by recipients by clicking on 2.By subject, by attachments and byimportance given by the messages sender.Also by size.When you use filters,don't forget to come back to sort by date.We are usually used to typing thisfilter to see the latest messageat the top of the list.In this list there is a conversations option,checked or unchecked.It's actually an activated.The conversation mode allows you togroup messages with the same subject.For example,if I have messages that are partof the same discussion to avoidhaving a redundant display,I can activate the conversation mode.I visualize only one message and when Iclick on the arrow I visualize all contents,my replies etc.It allows me to save space in my inboxes,display an have a groupincluding messages I sent myself.Then a search field that allows youto research messages or Contacts.You just have to type a keyword,for example meeting.Outlook gives you the possibilityto search by keywords.That's what interests me.So by clicking on meeting I would haveall messages that contains the word meeting.Weather in the subject in thebody of the message or the sender.I can also research by name.If your research gives too many results,or if you want to refine it,more options are displayedat the left side to displaymessages by period, for example,or expand research to other folders.",navig numerousamount messag receiv everi dayoutlook web app easili sort research anmanag email accord needslet start sort optionfirst main window littlearrow show sever sort indicatorsfirst option allow display allyour inbox content select folderbesid quickli sortmessag havent readmessag sent tome main recipientthen flag sort messageson set flag itdefault view viewsom criteria allow youto sort differ inboxin addit littl arrowi sort date defaultim alreadi sort dateby send us view includeal receiv messag peoplei sort recipi click 2bi subject attach byimport given messag senderalso sizewhen use filtersdont forget come back sort datew usual use type thisfilt see latest messageat top listin list convers optioncheck uncheckedit actual activatedth convers mode allow togroup messag subjectfor exampleif messag partof discuss avoidhav redund displayi activ convers modei visual one messag iclick arrow visual contentsmi repli etcit allow save space inboxesdisplay groupinclud messag sent myselfthen search field allow youto research messag contactsy type keywordfor exampl meetingoutlook give possibilityto search keywordsthat interest meso click meet would haveal messag contain word meetingweath subject thebodi messag senderi also research nameif research give mani resultsor want refin itmor option displayedat left side displaymessag period exampleor expand research folder
